time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-02-20T09:08:36.002Z,48.7357,-128.9459,10,4.1,mb,68,128,0.786,0.38,us,us6000jq9j,2023-04-29T21:57:16.040Z,"Vancouver Island, Canada region",earthquake,4.8,1.941,0.069,57,reviewed,us,us
2023-02-17T06:55:48.570Z,50.4493,-129.6833,10,4.6,mb,83,159,1.998,0.54,us,us6000jpja,2023-04-22T21:33:15.040Z,"Vancouver Island, Canada region",earthquake,8.62,1.92,0.053,104,reviewed,us,us
2023-02-08T05:59:37.381Z,50.2404,-129.8365,12.495,4.2,mb,110,160,2.226,0.73,us,us6000jmfl,2023-04-15T21:39:46.040Z,"199 km WSW of Port McNeill, Canada",earthquake,8.42,5.543,0.046,132,reviewed,us,us
2023-01-28T16:10:51.373Z,49.0299,-128.4935,10,4,mb,20,198,1.974,1.07,us,us6000jk08,2023-04-11T18:51:39.040Z,"189 km W of Tofino, Canada",earthquake,6.49,2.003,0.134,18,reviewed,us,us
2022-12-24T09:32:58.557Z,53.8588,-131.5868,10,3.8,mb,36,87,0.674,0.51,us,us6000jbf8,2023-03-07T18:59:44.040Z,"97 km WSW of Prince Rupert, Canada",earthquake,2.63,1.97,0.179,8,reviewed,us,us
2022-12-24T09:01:22.174Z,53.821,-131.7345,10,4.5,mb,82,65,0.693,0.51,us,us6000jbf4,2023-03-07T18:59:45.040Z,"107 km WSW of Prince Rupert, Canada",earthquake,3.98,1.773,0.047,131,reviewed,us,us
2022-12-06T13:29:18.635Z,50.6979,-130.1776,10,4.6,mb,50,125,1.72,0.37,us,us6000j7ce,2023-02-11T23:03:11.040Z,"218 km W of Port McNeill, Canada",earthquake,6.36,1.892,0.042,172,reviewed,us,us
2022-11-26T03:50:17.526Z,49.2714,-126.0923,33.38,4.9,mww,148,123,0.499,0.61,us,us7000ishe,2023-02-05T23:23:54.040Z,"18 km NW of Tofino, Canada",earthquake,7.94,3.895,0.053,34,reviewed,us,us
2022-11-07T03:17:18.976Z,50.5461,-129.6746,14.515,4.2,mwr,24,200,0.987,0.51,us,us7000imzs,2023-01-21T19:27:11.040Z,"Vancouver Island, Canada region",earthquake,11.67,8.116,,,reviewed,us,pgc
2022-10-21T11:40:46.203Z,53.8561,-131.6103,14.5,2.8,ml,,,,0.71,ak,ak022diesh0m,2022-11-12T01:16:05.847Z,"98 km WSW of Prince Rupert, Canada",earthquake,,0.4,,,reviewed,ak,ak
2022-10-21T05:40:45.864Z,53.8685,-131.631,7.579,3.9,mwr,30,59,0.701,0.8,us,us6000ivft,2022-12-31T23:03:18.040Z,"99 km WSW of Prince Rupert, Canada",earthquake,1.06,6.45,,,reviewed,us,pgc
2022-08-08T07:38:56.410Z,48.9736,-128.6522,10,4.6,mwr,113,100,1.702,0.44,us,us6000i90r,2022-10-21T23:19:08.040Z,"201 km W of Tofino, Canada",earthquake,4.36,1.85,0.089,12,reviewed,us,us
2022-07-26T05:46:22.180Z,51.6872,-131.1931,10,4.6,mwr,76,143,0.607,0.6,us,us7000hth5,2022-10-01T22:09:52.040Z,"Haida Gwaii Region, Canada",earthquake,5.79,1.766,0.083,14,reviewed,us,us
2022-06-13T17:34:43.012Z,50.9202,-129.9414,10,4.6,mb,97,155,1.181,1.01,us,us7000hh4b,2022-08-21T00:16:51.040Z,"204 km W of Port McNeill, Canada",earthquake,7,1.9,0.036,228,reviewed,us,us
2022-06-04T23:59:10.007Z,51.6137,-131.4027,6.61,5.1,mww,135,144,0.692,0.63,us,us7000hf29,2022-08-13T21:52:44.040Z,"Haida Gwaii Region, Canada",earthquake,6,4.2,0.08,15,reviewed,us,us
2022-05-09T13:02:06.565Z,53.7399,-131.8468,10,4.1,mwr,83,86,0.657,0.7,us,us7000h83p,2022-07-22T18:31:08.040Z,"Hecate Strait region, Canada",earthquake,3.6,1.9,0.089,12,reviewed,us,us
2022-05-05T23:19:56.070Z,49.134,-125.41083333333333,4.91,2.77,ml,8,125,0.2266,0.85,uw,uw61828387,2022-05-06T19:01:05.300Z,"Vancouver Island, Canada region",earthquake,2.5,31.61,0.34703448908851975,4,reviewed,uw,uw
2022-05-05T03:38:10.239Z,48.5563,-128.9545,10,4.1,mb,38,145,0.607,0.39,us,us7000h76t,2022-07-09T21:40:01.040Z,"233 km WSW of Tofino, Canada",earthquake,5.2,1.9,0.213,6,reviewed,us,us
2022-04-23T21:22:47.948Z,50.4725,-129.6895,10,5.3,mww,189,111,1.006,0.58,us,us6000hfx7,2022-07-05T03:39:49.040Z,"185 km W of Port McNeill, Canada",earthquake,3.4,1.6,0.034,85,reviewed,us,us
2022-02-22T14:26:04.533Z,49.2327,-129.0681,10,4,mb,,205,1.533,0.66,us,us6000h04f,2022-05-04T13:39:47.040Z,"207 km SW of Port McNeill, Canada",earthquake,8.2,2,0.113,22,reviewed,us,us
2022-02-13T21:10:51.084Z,54.385,-134.0956,14.49,3.2,ml,,202,0.805,0.89,us,us6000h26q,2022-04-30T14:18:09.040Z,"122 km SW of Hydaburg, Alaska",earthquake,3.8,6.5,0.071,26,reviewed,us,us
2022-01-14T08:25:28.969Z,50.5323,-130.1852,10,4.5,mwr,,187,1.312,0.83,us,us7000gbtx,2022-03-19T22:08:01.040Z,"219 km W of Port McNeill, Canada",earthquake,10.7,2,,,reviewed,us,pgc
2022-01-14T06:38:23.840Z,50.4878,-130.3172,10,4.4,mwr,,181,1.401,0.76,us,us7000gbtt,2022-03-19T22:08:01.040Z,"229 km W of Port McNeill, Canada",earthquake,8.8,2,,,reviewed,us,pgc
2022-01-02T13:10:10.294Z,50.2752,-129.3834,10,4.4,mwr,,77,0.878,0.43,us,us7000g8hb,2022-03-12T22:19:02.040Z,"166 km WSW of Port McNeill, Canada",earthquake,5.4,1.9,,,reviewed,us,pgc
2021-11-27T12:17:00.947Z,50.385,-129.8032,10,4.1,mb,,184,1.096,0.59,us,us7000fxh8,2022-02-05T23:04:19.040Z,"194 km W of Port McNeill, Canada",earthquake,8,2,0.078,45,reviewed,us,us
2021-10-28T17:24:03.652Z,51.211,-130.6933,10,4,mwr,,177,1.128,0.74,us,us7000fssk,2022-01-08T17:43:54.040Z,"262 km WNW of Port McNeill, Canada",earthquake,4.2,2,,,reviewed,us,pgc
2021-10-12T14:56:18.917Z,49.2003,-128.1394,10,4.2,mwr,,167,1.441,0.61,us,us6000ftzu,2022-08-08T10:46:29.739Z,"Offshore Vancouver Island, Canada",earthquake,4.5,1.9,,,reviewed,us,pgc
2021-09-21T06:12:55.997Z,48.7634,-129.0865,10,4.5,mwr,,147,0.804,0.69,us,us7000fd2r,2021-12-03T15:01:40.040Z,"236 km WSW of Tofino, Canada",earthquake,7.8,2,,,reviewed,us,pgc
2021-08-07T20:13:54.432Z,50.6505,-130.0153,4.64,3.8,mwr,,175,1.198,0.97,us,us6000f388,2021-10-23T15:45:50.040Z,"207 km W of Port McNeill, Canada",earthquake,6.3,4.6,0.058,29,reviewed,us,us
2021-03-19T02:17:56.302Z,50.4809,-130.2467,10,4,mb,,167,1.357,1.17,us,us7000dktw,2021-06-02T15:23:52.040Z,"224 km W of Port McNeill, Canada",earthquake,6.6,2,0.067,61,reviewed,us,us
2021-03-03T05:12:50.230Z,48.8448333333333,-125.648333333333,4.95,2.57,ml,16,217,0.1063,0.27,uw,uw61706792,2021-03-03T18:31:11.910Z,"13 km SW of Ucluelet, Canada",earthquake,2.37,31.61,0.314740664219524,8,reviewed,uw,uw
2021-01-26T14:30:36.187Z,50.6684,-130.0227,10,3.2,ml,,203,1.203,0.87,us,us6000dcgs,2021-04-13T17:04:32.040Z,"207 km W of Port McNeill, Canada",earthquake,7.3,2,0.064,32,reviewed,us,us
2020-12-25T17:13:47.265Z,50.6013,-130.1077,10,4.7,mwr,,125,1.258,1.01,us,us6000d2zn,2021-03-09T18:33:28.040Z,"213 km W of Port McNeill, Canada",earthquake,4.4,1.6,0.089,12,reviewed,us,us
2020-11-18T22:19:45.817Z,53.0044,-132.7863,10,4.1,mwr,,160,0.272,0.8,us,us6000cq39,2021-02-03T17:49:31.040Z,"218 km SW of Prince Rupert, Canada",earthquake,2.1,1.9,,,reviewed,us,pgc
2020-11-11T01:10:37.718Z,51.3519,-130.9343,10,4.4,mwr,,159,1.903,0.95,us,us7000cd6w,2021-01-27T17:28:33.040Z,"283 km WNW of Port McNeill, Canada",earthquake,6.4,1.9,,,reviewed,us,pgc
2020-10-16T13:56:35.569Z,51.3186,-130.2286,10,4.2,mwr,,148,1.146,0.98,us,us7000cm44,2020-12-29T23:07:27.040Z,"235 km WNW of Port McNeill, Canada",earthquake,6.3,1.9,,,reviewed,us,pgc
2020-08-19T11:40:56.218Z,50.655,-129.9681,4.99,4.1,mwr,,155,1.168,0.84,us,us6000bh21,2020-10-31T19:06:08.040Z,"204 km W of Port McNeill, Canada",earthquake,7.2,5.6,0.071,19,reviewed,us,us
2020-07-22T11:33:24.746Z,49.0995,-129.0303,10,5,mwr,,79,1.648,0.68,us,us7000at13,2020-10-04T17:50:53.470Z,"216 km SW of Port McNeill, Canada",earthquake,6.7,1.8,0.056,31,reviewed,us,us
2020-05-23T02:14:51.372Z,50.4322,-129.5266,10,5.2,mww,,142,0.913,0.95,us,us70009nx6,2020-08-08T18:17:52.040Z,"173 km W of Port McNeill, Canada",earthquake,3.4,1.8,0.037,69,reviewed,us,us
2020-05-10T04:46:01.644Z,49.5422,-127.6367,10,4.8,mwr,,134,1.144,1.27,us,us70009dld,2020-07-29T22:14:26.040Z,"106 km WSW of Vernon, Canada",earthquake,5.3,1.8,,,reviewed,us,pgc
