#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=IRISDMC,https://www.earthscope.org/data/
CC|NORM|43.73896|-121.252678|2181.65|North Rim, Newberry Volcano|2011-08-17T00:00:00|2599-12-31T23:59:59
CC|OBSR|46.899719|-121.815331|2382.0|Observation Rock|2008-09-10T00:00:00|2599-12-31T23:59:59
CC|PANH|46.859032|-121.642592|2086.0|Panhandle Gap|2007-09-10T00:00:00|2599-12-31T23:59:59
CC|PRLK|44.20975|-121.96264|1283.0|Prince Lake|2006-09-15T00:00:00|2599-12-31T23:59:59
CC|SEP|46.19978|-122.190857|2114.0|September lobe, Mt. St. Helens (Dome sta)|2004-11-05T00:00:00|2599-12-31T23:59:59
CC|STD|46.23749|-122.22421|1189.0|Studebaker Ridge, Mount St. Helens|2004-10-05T00:00:00|2599-12-31T23:59:59
CC|SUG|46.215549|-122.176262|1859.0|Sugar Bowl|2009-08-07T00:00:00|2599-12-31T23:59:59
CC|SVIC|43.643082|-121.253273|1765.0|Surveyor's Cave, OR, USA|2011-08-17T00:00:00|2599-12-31T23:59:59
CC|SWF2|46.178349|-122.216766|1548.0|Southwest Flank 2, Mount St. Helens|2013-08-29T00:00:00|2599-12-31T23:59:59
CC|SWNB|43.67274|-121.35535|1569.0|Southwest Newberry, Newberry Volcano|2011-08-17T00:00:00|2599-12-31T23:59:59
CC|TCBU|44.24083|-121.66438|1646.0|Trout Creek Butte|2008-04-22T00:00:00|2599-12-31T23:59:59
CC|TIMB|45.33572|-121.710358|1869.0|Timberline, OR|2006-09-29T00:00:00|2599-12-31T23:59:59
CC|TMBU|43.60189|-121.14451|1743.0|Tom Butte, Newberry Volcano|2011-08-17T00:00:00|2599-12-31T23:59:59
CC|VALT|46.214218|-122.189247|1681.0|Vault, Mount St. Helens|2006-08-01T00:00:00|2024-06-06T19:00:00
CC|WIFE|44.05966|-121.81746|1955.0|The Wife|2004-07-28T00:00:00|2599-12-31T23:59:59
CC|WIZ|42.934181|-122.149208|1884.0|Crater Lake, Wizard Island, OR|2012-01-09T00:00:00|2599-12-31T23:59:59
CN|MASB|54.0244|-132.0223|3.0|Masset, BC, CA|2024-01-23T20:00:00|2599-12-31T23:59:59
GD|ALBH|48.389702|-123.487503|32.0|Alberthead, British Columbia, Canada|1992-01-01T00:00:00|2599-12-31T23:59:59
GD|BREW|48.1315|-119.682701|249.9|Brewster, Washington, USA|1992-01-01T00:00:00|2599-12-31T23:59:59
GD|DRA2|49.322601|-119.625|351.0|Dominion Astrophysical Observatory, Penticton, Canada|1992-01-01T00:00:00|2599-12-31T23:59:59
GD|DSLK|58.435699|-129.988998|795.0|Dease Lake, British Columbia, Canada|1992-01-01T00:00:00|2599-12-31T23:59:59
GD|ELDD|58.972|-135.222305|10.0|Eldred Rock, Alaska, USA|1992-01-01T00:00:00|2599-12-31T23:59:59
GD|ESQM|48.429199|-123.428802|9.0|Esquimalt, British Columbia, Canada|1992-01-01T00:00:00|2599-12-31T23:59:59
GD|FNEL|58.805199|-122.732101|319.0|Fort Nelson, British Columbia, Canada|1992-01-01T00:00:00|2599-12-31T23:59:59
GD|FS32|59.148701|-135.347|19.0|Haines, Alaska, USA|1992-01-01T00:00:00|2599-12-31T23:59:59
GD|FTSJ|56.254902|-120.848701|19.0|Fort St. John, British Columbia, Canada|1992-01-01T00:00:00|2599-12-31T23:59:59
GD|HNSC|59.242001|-135.517807|10.0|Haines, Alaska, USA|1992-01-01T00:00:00|2599-12-31T23:59:59
GD|INVM|50.509201|-116.028702|859.0|Invermere, British Columbia, Canada|1992-01-01T00:00:00|2599-12-31T23:59:59
GD|PGC4|48.648399|-123.450996|10.0|Pacific Geoscience Center, Sidney, British Columbia, Canada|1992-01-01T00:00:00|2599-12-31T23:59:59
GD|PTHY|50.685501|-127.375397|24.4|Port Hardy, Vancouver Island, British Columbia, Canada|1992-01-01T00:00:00|2599-12-31T23:59:59
GD|SMLD|49.565399|-119.644302|437.7|Summerland, British Columbia, Canada|1992-01-01T00:00:00|2599-12-31T23:59:59
GD|TEM1|59.450199|-135.330093|13.4|Skagway Airport, Alaska, USA|1992-01-01T00:00:00|2599-12-31T23:59:59
GD|TNK1|59.272202|-135.440598|11.3|Tank 1, Haines, Alaska, USA|1992-01-01T00:00:00|2599-12-31T23:59:59
GD|TRRC|54.514801|-128.626694|68.9|Terrace, British Columbia, Canada|1992-01-01T00:00:00|2599-12-31T23:59:59
GD|WLBC|52.130501|-122.136902|605.0|Williams Lake, British Columbia, Canada|1992-01-01T00:00:00|2599-12-31T23:59:59
GS|ALBK|45.565701|-122.641998|47.0|Portland urban array|2008-11-19T00:00:00|2599-12-31T23:59:59
GS|BAL|47.661701|-122.372002|9.0|Seattle urban array|2008-07-22T00:00:00|2599-12-31T23:59:59
GS|BEAV|45.5274|-122.8428|58.0|Portland urban array|2005-07-19T00:00:00|2017-10-02T23:59:59
GS|BNG|45.525368|-122.301651|15.0|Boeing Field King Co International|2009-10-08T00:00:00|2017-05-31T23:59:59
GS|CHIN|45.525902|-122.673401|11.0|Portland urban array|2005-11-08T00:00:00|2599-12-31T23:59:59
GS|CIN|47.6647|-122.361298|22.0|Seattle urban array|2009-11-13T00:00:00|2599-12-31T23:59:59
GS|CRCK|45.530602|-122.735901|175.0|Portland urban array|2005-07-20T00:00:00|2599-12-31T23:59:59
GS|CSOK|45.5168|-122.690804|35.0|SW 16th Ave-SW Columbia St, Portland, OR  97201|2005-12-15T00:00:00|2599-12-31T23:59:59
GS|CTR|47.6207|-122.3514|43.0|Seattle Center|2000-03-02T00:00:00|2017-05-31T23:59:59
GS|DREG|45.5678|-122.715|3.0|Portland urban array|2006-09-27T00:00:00|2017-10-03T23:59:59
GS|FINI|47.667|-122.355797|76.0|Seattle urban array|2009-11-14T00:00:00|2599-12-31T23:59:59
GS|GRE|47.6722|-122.3364|59.0|Seattle urban array|2004-09-21T00:00:00|2017-09-29T23:59:59
GS|HAOK|45.509102|-122.657898|12.0|Portland urban array|2005-11-10T00:00:00|2599-12-31T23:59:59
GS|ICR|47.549198|-122.222702|92.0|Seattle urban array|2001-07-25T00:00:00|2599-12-31T23:59:59
GS|LAU|47.664001|-122.3638|20.0|Seattle urban array|2009-11-13T00:00:00|2599-12-31T23:59:59
GS|LEVE|45.5893|-122.6434|3.0|Portland urban array|2005-07-19T00:00:00|2017-10-04T23:59:59
GS|LOES|45.532299|-122.733803|232.0|Portland urban array|2005-07-20T00:00:00|2599-12-31T23:59:59
GS|MAC|47.2467|-122.5318|78.0|Tacoma urban array|2007-07-12T00:00:00|2018-06-25T23:59:59
GS|MER|47.584599|-122.234596|25.0|Seattle urban array|2004-09-21T00:00:00|2599-12-31T23:59:59
GS|MRN|47.5926|-122.2322|10.0|Seattle urban array|2007-07-13T00:00:00|2018-05-23T23:59:59
GS|MS10|47.6381|-122.127998|120.0|Microsoft Bldg 10,  Redmond, WA  98052|2006-09-23T00:00:00|2599-12-31T23:59:59
GS|MS5|47.6396|-122.1246|116.0|Microsoft Bldg 5,  Redmond, WA  98052|2006-09-22T00:00:00|2018-05-26T23:59:59
GS|MS8B|47.641201|-122.127899|116.0|Microsoft Bldg 8,  Redmond, WA  98052|2010-04-15T18:45:00|2599-12-31T23:59:59
GS|NEW|47.5541|-122.1737|116.0|Seattle urban array|2004-09-22T00:00:00|2018-05-15T23:59:59
GS|NOB|47.6398|-122.3504|93.0|Seattle urban array|2009-11-11T00:00:00|2018-09-27T23:59:59
GS|NV2|47.5933|-122.175598|92.0|Seattle urban array|2008-12-11T00:00:00|2599-12-31T23:59:59
GS|PFS6|45.548901|-122.705902|3.0|Portland urban array|2006-09-26T00:00:00|2599-12-31T23:59:59
GS|PIE|47.6327|-122.3803|3.0|Seattle urban array|1999-07-27T00:00:00|2018-04-26T23:59:59
